reaction,flux,dilution,metabolite,reaction
EX_cpd00104_m,0.1,0.1,cpd00104_m,EX_cpd00104_m
EX_cpd00644_m,0.1,0.1,cpd00644_m,EX_cpd00644_m
EX_cpd00263_m,0.1,0.1,cpd00263_m,EX_cpd00263_m
EX_cpd00215_m,0.1,0.1,cpd00215_m,EX_cpd00215_m
EX_cpd00419_m,0.1,0.1,cpd00419_m,EX_cpd00419_m
EX_cpd00393_m,0.1,0.1,cpd00393_m,EX_cpd00393_m
EX_cpd00166_m,0.1,0.1,cpd00166_m,EX_cpd00166_m
EX_cpd00028_m,0.1,0.1,cpd00028_m,EX_cpd00028_m
EX_cpd00635_m,0.1,0.1,cpd00635_m,EX_cpd00635_m
EX_cpd00098_m,0.1,0.1,cpd00098_m,EX_cpd00098_m
EX_cpd00239_m,0.1,0.1,cpd00239_m,EX_cpd00239_m
EX_cpd00048_m,0.1,0.1,cpd00048_m,EX_cpd00048_m
EX_cpd00264_m,0.1,0.1,cpd00264_m,EX_cpd00264_m
EX_cpd00971_m,0.1,0.1,cpd00971_m,EX_cpd00971_m
EX_cpd00063_m,0.1,0.1,cpd00063_m,EX_cpd00063_m
EX_cpd00149_m,0.1,0.1,cpd00149_m,EX_cpd00149_m
EX_cpd00099_m,0.1,0.1,cpd00099_m,EX_cpd00099_m
EX_cpd00205_m,0.1,0.1,cpd00205_m,EX_cpd00205_m
EX_cpd10515_m,0.1,0.1,cpd10515_m,EX_cpd10515_m
EX_cpd10516_m,0.1,0.1,cpd10516_m,EX_cpd10516_m
EX_cpd03725_m,0.1,0.1,cpd03725_m,EX_cpd03725_m
EX_cpd00254_m,0.1,0.1,cpd00254_m,EX_cpd00254_m
EX_cpd00030_m,0.1,0.1,cpd00030_m,EX_cpd00030_m
EX_cpd11574_m,0.1,0.1,cpd11574_m,EX_cpd11574_m
EX_cpd00058_m,0.1,0.1,cpd00058_m,EX_cpd00058_m
EX_cpd00034_m,0.1,0.1,cpd00034_m,EX_cpd00034_m
EX_cpd03396_m,0.1,0.1,cpd03396_m,EX_cpd03396_m
EX_cpd01727_m,0.1,0.1,cpd01727_m,EX_cpd01727_m
EX_cpd15500_m,0.1,0.1,cpd15500_m,EX_cpd15500_m
EX_cpd15311_m,0.1,0.1,cpd15311_m,EX_cpd15311_m
EX_cpd00516_m,0.1,0.1,cpd00516_m,EX_cpd00516_m
EX_cpd00094_m,0.1,0.1,cpd00094_m,EX_cpd00094_m
EX_cpd00508_m,0.1,0.1,cpd00508_m,EX_cpd00508_m
EX_cpd00136_m,0.1,0.1,cpd00136_m,EX_cpd00136_m
EX_cpd00029_m,0.1,0.1,cpd00029_m,EX_cpd00029_m
EX_cpd00122_m,0.1,0.1,cpd00122_m,EX_cpd00122_m
EX_cpd00232_m,0.1,0.1,cpd00232_m,EX_cpd00232_m
EX_cpd00492_m,0.1,0.1,cpd00492_m,EX_cpd00492_m
EX_cpd00128_m,0.1,0.1,cpd00128_m,EX_cpd00128_m
EX_cpd00182_m,0.1,0.1,cpd00182_m,EX_cpd00182_m
EX_cpd00117_m,0.1,0.1,cpd00117_m,EX_cpd00117_m
EX_cpd00185_m,0.1,0.1,cpd00185_m,EX_cpd00185_m
EX_cpd01017_m,0.1,0.1,cpd01017_m,EX_cpd01017_m
EX_cpd00216_m,0.1,0.1,cpd00216_m,EX_cpd00216_m
EX_cpd00137_m,0.1,0.1,cpd00137_m,EX_cpd00137_m
EX_cpd00017_m,0.1,0.1,cpd00017_m,EX_cpd00017_m
EX_cpd00307_m,0.1,0.1,cpd00307_m,EX_cpd00307_m
EX_cpd00367_m,0.1,0.1,cpd00367_m,EX_cpd00367_m
EX_cpd00438_m,0.1,0.1,cpd00438_m,EX_cpd00438_m
EX_cpd00654_m,0.1,0.1,cpd00654_m,EX_cpd00654_m
EX_cpd01741_m,0.1,0.1,cpd01741_m,EX_cpd01741_m
EX_cpd00277_m,0.1,0.1,cpd00277_m,EX_cpd00277_m
EX_cpd00047_m,0.1,0.1,cpd00047_m,EX_cpd00047_m
EX_cpd00106_m,0.1,0.1,cpd00106_m,EX_cpd00106_m
EX_cpd00080_m,0.1,0.1,cpd00080_m,EX_cpd00080_m
EX_cpd00311_m,0.1,0.1,cpd00311_m,EX_cpd00311_m
EX_cpd00111_m,0.1,0.1,cpd00111_m,EX_cpd00111_m
EX_cpd00207_m,0.1,0.1,cpd00207_m,EX_cpd00207_m
EX_cpd00067_m,0.1,0.1,cpd00067_m,EX_cpd00067_m
EX_cpd00226_m,0.1,0.1,cpd00226_m,EX_cpd00226_m
EX_cpd00359_m,0.1,0.1,cpd00359_m,EX_cpd00359_m
EX_cpd01188_m,0.1,0.1,cpd01188_m,EX_cpd01188_m
EX_cpd01914_m,0.1,0.1,cpd01914_m,EX_cpd01914_m
EX_cpd11606_m,0.1,0.1,cpd11606_m,EX_cpd11606_m
EX_cpd00133_m,0.1,0.1,cpd00133_m,EX_cpd00133_m
EX_cpd00355_m,0.1,0.1,cpd00355_m,EX_cpd00355_m
EX_cpd00064_m,0.1,0.1,cpd00064_m,EX_cpd00064_m
EX_cpd00028_m,0.1,0.1,cpd00028_m,EX_cpd00028_m
EX_cpd00009_m,0.1,0.1,cpd00009_m,EX_cpd00009_m
EX_cpd00118_m,0.1,0.1,cpd00118_m,EX_cpd00118_m
EX_cpd00016_m,0.1,0.1,cpd00016_m,EX_cpd00016_m
EX_cpd15560_m,0.1,0.1,cpd15560_m,EX_cpd15560_m
EX_cpd00557_m,0.1,0.1,cpd00557_m,EX_cpd00557_m
EX_cpd00264_m,0.1,0.1,cpd00264_m,EX_cpd00264_m
EX_cpd00305_m,0.1,0.1,cpd00305_m,EX_cpd00305_m
EX_cpd00184_m,0.1,0.1,cpd00184_m,EX_cpd00184_m
EX_cpd00092_m,0.1,0.1,cpd00092_m,EX_cpd00092_m
EX_cpd00249_m,0.1,0.1,cpd00249_m,EX_cpd00249_m
EX_cpd00309_m,0.1,0.1,cpd00309_m,EX_cpd00309_m
EX_cpd00116_m,10.0,1.0,cpd00116_m,EX_cpd00116_m
EX_cpd00001_m,10.0,1.0,cpd00001_m,EX_cpd00001_m
EX_cpd15352_m,0.1,0.1,cpd15352_m,EX_cpd15352_m
EX_cpd00443_m,0.1,0.1,cpd00443_m,EX_cpd00443_m
EX_cpd00018_m,0.1,0.1,cpd00018_m,EX_cpd00018_m
EX_cpd00055_m,0.1,0.1,cpd00055_m,EX_cpd00055_m
EX_cpd00276_m,0.1,0.1,cpd00276_m,EX_cpd00276_m
EX_cpd00186_m,0.1,0.1,cpd00186_m,EX_cpd00186_m
EX_cpd00042_m,0.1,0.1,cpd00042_m,EX_cpd00042_m
EX_cpd11640_m,0.1,0.1,cpd11640_m,EX_cpd11640_m
EX_cpd00075_m,0.1,0.1,cpd00075_m,EX_cpd00075_m
EX_cpd00007_m,0.001,0.001,cpd00007_m,EX_cpd00007_m
